"PGM_SYS_ACRNM","PGM_SYS_ID","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC","STATE_CODE"
"RCRAINFO","SCD982084600","32.921828","-80.675579","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD981759509","32.914087","-79.98643","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD987595881","34.1855","-79.634722","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD039046560","34.858333","-82.391667","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD036252484","33.664266","-80.77661","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD981030406","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD036296200","34.745072","-82.042192","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCR000774984","34.635492","-79.700611","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD018668392","34.285437","-81.638547","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD991279324","34.853081","-80.911766","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000781831","33.940101","-80.371797","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000005983","34.942081","-81.935118","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
